"Medicare Part B Brand, Generic and Manufacturer Information",,,,
,,,,
Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,Manufacturer
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium,"Heparin Sodium,porcine",APP/Novaplus
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium,"Heparin Sodium,porcine",Hospira
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium,"Heparin Sodium,porcine",Mckesson Packag
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium,"Heparin Sodium,porcine",Pfizer US Pharm
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium,"Heparin Sodium,porcine",Sagent Pharme
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium,"Heparin Sodium,porcine",Sagent/Premierp
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium,"Heparin Sodium,porcine","West-Ward, Inc."
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium,"Heparin Sodium,porcine/PF",APP/Fresenius K
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium,"Heparin Sodium,porcine/PF",Hospira
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium,"Heparin Sodium,porcine/PF",Mckesson Packag
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium,"Heparin Sodium,porcine/PF",Pfizer US Pharm
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium,"Heparin Sodium,porcine/PF",Sagent Pharme
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium In 0.45% NaCl,"Heparin Sod,pork In 0.45% NaCl",Hospira
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium-0.9% NaCl,"Heparin Sodium,porcine/Ns/PF",B.Braun
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium-0.9% NaCl,"Heparin Sodium,porcine/Ns/PF",Baxter Healthca
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium-0.9% NaCl,"Heparin Sodium,porcine/Ns/PF",Hospira
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium-D5W,"Heparin Sodium,porcine/D5W",B.Braun
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium-D5W,"Heparin Sodium,porcine/D5W",Hospira
J1645,"Injection, dalteparin sodium, per 2500 iu",Fragmin,"Dalteparin Sodium,porcine",Eisai Inc.
J1645,"Injection, dalteparin sodium, per 2500 iu",Fragmin,"Dalteparin Sodium,porcine",Pfizer US Pharm
J1650,"Injection, enoxaparin sodium, 10 mg",Enoxaparin Sodium,Enoxaparin Sodium,APP/Fresenius K
J1650,"Injection, enoxaparin sodium, 10 mg",Enoxaparin Sodium,Enoxaparin Sodium,APP/Novaplus
J1650,"Injection, enoxaparin sodium, 10 mg",Enoxaparin Sodium,Enoxaparin Sodium,Actavis Pharma
J1650,"Injection, enoxaparin sodium, 10 mg",Enoxaparin Sodium,Enoxaparin Sodium,Amphastar Pharm
J1650,"Injection, enoxaparin sodium, 10 mg",Enoxaparin Sodium,Enoxaparin Sodium,Sandoz
J1650,"Injection, enoxaparin sodium, 10 mg",Enoxaparin Sodium,Enoxaparin Sodium,Teva Parenteral
J1650,"Injection, enoxaparin sodium, 10 mg",Enoxaparin Sodium,Enoxaparin Sodium,Winthrop US
J1650,"Injection, enoxaparin sodium, 10 mg",Lovenox,Enoxaparin Sodium,Sanofi-Aventis
J1650,"Injection, enoxaparin sodium, 10 mg",Lovenox,Enoxaparin Sodium,Sanofi/Novaplus
J1650,"Injection, enoxaparin sodium, 10 mg",Lovenox,Enoxaparin Sodium,Sanofi/Premierp
J1652,"Injection, fondaparinux sodium, 0.5 mg",Arixtra,Fondaparinux Sodium,Mylan Instituti
J1652,"Injection, fondaparinux sodium, 0.5 mg",Fondaparinux Sodium,Fondaparinux Sodium,Dr.Reddy's Lab
J1652,"Injection, fondaparinux sodium, 0.5 mg",Fondaparinux Sodium,Fondaparinux Sodium,Mylan Inst-Nova
J1652,"Injection, fondaparinux sodium, 0.5 mg",Fondaparinux Sodium,Fondaparinux Sodium,Mylan Instituti
J1670,"Injection, tetanus immune globulin, human, up to 250 units",Hypertet S-D,Tetanus Immune Globulin/PF,Grifols Therape
J1720,"Injection, hydrocortisone sodium succinate, up to 100 mg",Solu-Cortef,HydrocortIsone Sod Succinate,A-S Medication
J1720,"Injection, hydrocortisone sodium succinate, up to 100 mg",Solu-Cortef,HydrocortIsone Sod Succinate,Pharmia/Upjhn
J1720,"Injection, hydrocortisone sodium succinate, up to 100 mg",Solu-Cortef,HydrocortIsone Sodium Succ/PF,Pfizer US Pharm
J1740,"Injection, ibandronate sodium, 1 mg",Boniva,Ibandronate Sodium,"Genentech, Inc."
J1740,"Injection, ibandronate sodium, 1 mg",Ibandronate Sodium,Ibandronate Sodium,Mylan Instituti
J1740,"Injection, ibandronate sodium, 1 mg",Ibandronate Sodium,Ibandronate Sodium,Sagent Pharme
J1740,"Injection, ibandronate sodium, 1 mg",Ibandronate Sodium,Ibandronate Sodium,Sun Pharmeuti
J1742,"Injection, ibutilide fumarate, 1 mg",Corvert,Ibutilide Fumarate,Pfizer/Novaplus
J1742,"Injection, ibutilide fumarate, 1 mg",Corvert,Ibutilide Fumarate,Pharmia/Upjhn
J1742,"Injection, ibutilide fumarate, 1 mg",Ibutilide Fumarate,Ibutilide Fumarate,Mylan Instituti
J1742,"Injection, ibutilide fumarate, 1 mg",Ibutilide Fumarate,Ibutilide Fumarate,Paddock Labs.
J1743,"Injection, idursulfase, 1 mg",Elaprase,Idursulfase,Shire US Inc.
J1745,"Injection infliximab, 10 mg",Remicade,Infliximab,Janssen Biotech
J1750,"Injection, iron dextran, 50 mg",Dexferrum,Iron Dextran Complex,Amer. Regent
J1750,"Injection, iron dextran, 50 mg",Infed,Iron Dextran Complex,Actavis/Allerga
J1756,"Injection, iron sucrose, 1 mg",Venofer,Iron Sucrose Complex,Amer. Regent
J1756,"Injection, iron sucrose, 1 mg",Venofer,Iron Sucrose Complex,Fresenius Med
J1786,"Injection, imiglucerase, 10 units",Cerezyme,Imiglucerase,Genzyme
J1800,"Injection, propranolol hcl, up to 1 mg",Propranolol HCL,Propranolol HCL,APP/Fresenius K
J1800,"Injection, propranolol hcl, up to 1 mg",Propranolol HCL,Propranolol HCL,Sandoz
J1800,"Injection, propranolol hcl, up to 1 mg",Propranolol HCL,Propranolol HCL,"West-Ward, Inc."
J1815,"Injection, insulin, per 5 units",Humalog,Insulin Lispro,Eli Lilly & Co.
J1815,"Injection, insulin, per 5 units",Humalog Mix 50-50,Insulin Lispro Protamin/Lispro,Eli Lilly & Co.
J1815,"Injection, insulin, per 5 units",Humulin N,Insulin NPh Human Isophane,Eli Lilly & Co.
J1815,"Injection, insulin, per 5 units",Humulin R,"Insulin Regular, Human",A-S Medication
J1815,"Injection, insulin, per 5 units",Humulin R,"Insulin Regular, Human",Eli Lilly & Co.
J1815,"Injection, insulin, per 5 units",Humulin R U-500,"Insulin Regular, Human",Eli Lilly & Co.
J1815,"Injection, insulin, per 5 units",Lantus,"Insulin Glargine,hum.Rec.Anlog",A-S Medication
J1815,"Injection, insulin, per 5 units",Levemir Flextouch,Insulin Detemir,Novo Nordisk
J1815,"Injection, insulin, per 5 units",Novolin 70-30,Insulin NPh Hum/Reg Insulin Hm,Novo Nordisk-Wa
J1815,"Injection, insulin, per 5 units",Novolin N,Insulin NPh Human Isophane,Novo Nordisk-Wa
J1815,"Injection, insulin, per 5 units",Novolin R,"Insulin Regular, Human",A-S Medication
J1815,"Injection, insulin, per 5 units",Novolin R,"Insulin Regular, Human",Novo Nordisk
J1815,"Injection, insulin, per 5 units",Novolin R,"Insulin Regular, Human",Novo Nordisk-Wa
J1815,"Injection, insulin, per 5 units",Novolog,Insulin Aspart,Novo Nordisk
J1815,"Injection, insulin, per 5 units",Novolog Flexpen,Insulin Aspart,Novo Nordisk
J1817,"Insulin for administration through dme (i.e., insulin pump) per 50 units",Humalog,Insulin Lispro,Eli Lilly & Co.
J1817,"Insulin for administration through dme (i.e., insulin pump) per 50 units",Humulin R,"Insulin Regular, Human",A-S Medication
J1817,"Insulin for administration through dme (i.e., insulin pump) per 50 units",Humulin R,"Insulin Regular, Human",Eli Lilly & Co.
J1817,"Insulin for administration through dme (i.e., insulin pump) per 50 units",Humulin R U-500,"Insulin Regular, Human",Eli Lilly & Co.
J1817,"Insulin for administration through dme (i.e., insulin pump) per 50 units",Novolin R,"Insulin Regular, Human",A-S Medication
J1817,"Insulin for administration through dme (i.e., insulin pump) per 50 units",Novolin R,"Insulin Regular, Human",Novo Nordisk
J1817,"Insulin for administration through dme (i.e., insulin pump) per 50 units",Novolog,Insulin Aspart,Novo Nordisk
J1817,"Insulin for administration through dme (i.e., insulin pump) per 50 units",Novolog Flexpen,Insulin Aspart,Novo Nordisk
J1885,"Injection, ketorolac tromethamine, per 15 mg",Ketorolac Tromethamine,Ketorolac Tromethamine,A-S Medication
J1885,"Injection, ketorolac tromethamine, per 15 mg",Ketorolac Tromethamine,Ketorolac Tromethamine,APP/Fresenius K
J1885,"Injection, ketorolac tromethamine, per 15 mg",Ketorolac Tromethamine,Ketorolac Tromethamine,APP/Novaplus
J1885,"Injection, ketorolac tromethamine, per 15 mg",Ketorolac Tromethamine,Ketorolac Tromethamine,APP/Premierpro
J1885,"Injection, ketorolac tromethamine, per 15 mg",Ketorolac Tromethamine,Ketorolac Tromethamine,Bd Rx Inc./APP
J1885,"Injection, ketorolac tromethamine, per 15 mg",Ketorolac Tromethamine,Ketorolac Tromethamine,Hospira
J1885,"Injection, ketorolac tromethamine, per 15 mg",Ketorolac Tromethamine,Ketorolac Tromethamine,Hospira/Novaplu
J1885,"Injection, ketorolac tromethamine, per 15 mg",Ketorolac Tromethamine,Ketorolac Tromethamine,Sagent Pharme
J1885,"Injection, ketorolac tromethamine, per 15 mg",Ketorolac Tromethamine,Ketorolac Tromethamine,"West-Ward, Inc."
J1885,"Injection, ketorolac tromethamine, per 15 mg",Ketorolac Tromethamine,Ketorolac Tromethamine,Wockhardt USA L
J1930,"Injection, lanreotide, 1 mg",Somatuline Depot,Lanreotide Acetate,Ipsen BioPharma
J1931,"Injection, laronidase, 0.1 mg",Aldurazyme,Laronidase,Genzyme
J1940,"Injection, furosemide, up to 20 mg",Furosemide,Furosemide,APP/Fresenius K
J1940,"Injection, furosemide, up to 20 mg",Furosemide,Furosemide,APP/Premierpro
J1940,"Injection, furosemide, up to 20 mg",Furosemide,Furosemide,Amer. Regent
J1940,"Injection, furosemide, up to 20 mg",Furosemide,Furosemide,Heritage Pharma
J1940,"Injection, furosemide, up to 20 mg",Furosemide,Furosemide,Hospira
J1950,"Injection, leuprolide acetate (for depot suspension), per 3.75 mg",Lupron Depot,Leuprolide Acetate,Abbvie US LLC
J1950,"Injection, leuprolide acetate (for depot suspension), per 3.75 mg",Lupron Depot-Ped,Leuprolide Acetate,Abbvie US LLC
J1955,"Injection, levocarnitine, per 1 gm",Carnitor,Levocarnitine,Sigma-Tau
J1955,"Injection, levocarnitine, per 1 gm",Levocarnitine,Levocarnitine,Teva Parenteral
J1956,"Injection, levofloxacin, 250 mg",Levaquin,Levofloxacin/D5W,Janssen Pharm.
J1956,"Injection, levofloxacin, 250 mg",Levofloxacin,Levofloxacin,Akorn Inc.
J1956,"Injection, levofloxacin, 250 mg",Levofloxacin,Levofloxacin,Heritage Pharma
J1956,"Injection, levofloxacin, 250 mg",Levofloxacin,Levofloxacin,Sagent Pharme
J1956,"Injection, levofloxacin, 250 mg",Levofloxacin-D5W,Levofloxacin/D5W,APP/Fresenius K
J1956,"Injection, levofloxacin, 250 mg",Levofloxacin-D5W,Levofloxacin/D5W,Sagent Pharme
J1956,"Injection, levofloxacin, 250 mg",Levofloxacin-D5W,Levofloxacin/D5W,Sagent/Novaplus
J1956,"Injection, levofloxacin, 250 mg",Levofloxacin-D5W,Levofloxacin/D5W,Sagent/Premierp
J1956,"Injection, levofloxacin, 250 mg",Levofloxacin-D5W,Levofloxacin/D5W,Sandoz
J1956,"Injection, levofloxacin, 250 mg",Levofloxacin-D5W,Levofloxacin/D5W,"West-Ward, Inc."
J1980,"Injection, hyoscyamine sulfate, up to 0.25 mg",Levsin,Hyoscyamine Sulfate,Meda Pharmeut
J2001,"Injection, lidocaine hcl for intravenous infusion, 10 mg",Lidocaine HCL In 5% Dextrose,Lidocaine HCL/Dextrose 5 %/PF,B.Braun
J2001,"Injection, lidocaine hcl for intravenous infusion, 10 mg",Lidocaine HCL In 5% Dextrose,Lidocaine HCL/Dextrose 5 %/PF,Baxter Healthca
J2010,"Injection, lincomycin hcl, up to 300 mg",Lincocin,Lincomycin HCL,Pharmia/Upjhn
J2010,"Injection, lincomycin hcl, up to 300 mg",Lincomycin HCL,Lincomycin HCL,X-Gen Pharmeu
J2020,"Injection, linezolid, 200 mg",Linezolid,Linezolid,APP/Fresenius K
J2020,"Injection, linezolid, 200 mg",Linezolid,Linezolid,Hospira
J2020,"Injection, linezolid, 200 mg",Linezolid,Linezolid,Teva Parenteral
J2020,"Injection, linezolid, 200 mg",Linezolid-0.9% NaCl,Linezolid-0.9% Sodium Chloride,Hospira
J2020,"Injection, linezolid, 200 mg",Zyvox,Linezolid,Pharmia/Upjhn
J2060,"Injection, lorazepam, 2 mg",Ativan,Lorazepam,"West-Ward, Inc."
J2060,"Injection, lorazepam, 2 mg",Lorazepam,Lorazepam,Akorn Inc.
J2060,"Injection, lorazepam, 2 mg",Lorazepam,Lorazepam,Hospira
J2060,"Injection, lorazepam, 2 mg",Lorazepam,Lorazepam,"West-Ward, Inc."
J2150,"Injection, mannitol, 25% in 50 ml",Mannitol,Mannitol,APP/Fresenius K
J2150,"Injection, mannitol, 25% in 50 ml",Mannitol,Mannitol,APP/Novaplus
J2150,"Injection, mannitol, 25% in 50 ml",Mannitol,Mannitol,Amer. Regent
J2150,"Injection, mannitol, 25% in 50 ml",Mannitol,Mannitol,Hospira
J2175,"Injection, meperidine hydrochloride, per 100 mg",Demerol,Meperidine HCL,Hospira
J2175,"Injection, meperidine hydrochloride, per 100 mg",Demerol,Meperidine HCL/PF,Hospira
J2175,"Injection, meperidine hydrochloride, per 100 mg",Meperidine HCL,Meperidine HCL,Hospira
J2175,"Injection, meperidine hydrochloride, per 100 mg",Meperidine HCL,Meperidine HCL/PF,"West-Ward, Inc."
J2185,"Injection, meropenem, 100 mg",Meropenem,Meropenem,APP/Fresenius K
J2185,"Injection, meropenem, 100 mg",Meropenem,Meropenem,APP/Novaplus
J2185,"Injection, meropenem, 100 mg",Meropenem,Meropenem,APP/Premierpro
J2185,"Injection, meropenem, 100 mg",Meropenem,Meropenem,Hospira
J2185,"Injection, meropenem, 100 mg",Meropenem,Meropenem,Sandoz
J2185,"Injection, meropenem, 100 mg",Meropenem-0.9% NaCl,Meropenem-0.9% Sodium Chloride,B.Braun
J2185,"Injection, meropenem, 100 mg",Merrem,Meropenem,Astrazeneca
J2248,"Injection, micafungin sodium, 1 mg",Mycamine,Micafungin Sodium,Astellas Pharma
J2248,"Injection, micafungin sodium, 1 mg",Mycamine,Micafungin Sodium,Astellas/Novapl
J2250,"Injection, midazolam hydrochloride, per 1 mg",Midazolam HCL,Midazolam HCL,A-S Medication
J2250,"Injection, midazolam hydrochloride, per 1 mg",Midazolam HCL,Midazolam HCL,APP/Fresenius K
J2250,"Injection, midazolam hydrochloride, per 1 mg",Midazolam HCL,Midazolam HCL,Akorn Inc.
J2250,"Injection, midazolam hydrochloride, per 1 mg",Midazolam HCL,Midazolam HCL,Caraco/Sun Phar
J2250,"Injection, midazolam hydrochloride, per 1 mg",Midazolam HCL,Midazolam HCL,Hospira
J2250,"Injection, midazolam hydrochloride, per 1 mg",Midazolam HCL,Midazolam HCL,Hospira/Novaplu
J2250,"Injection, midazolam hydrochloride, per 1 mg",Midazolam HCL,Midazolam HCL,Medicines Comp.
J2250,"Injection, midazolam hydrochloride, per 1 mg",Midazolam HCL,Midazolam HCL,Sagent Pharme
J2250,"Injection, midazolam hydrochloride, per 1 mg",Midazolam HCL,Midazolam HCL,"West-Ward, Inc."
J2250,"Injection, midazolam hydrochloride, per 1 mg",Midazolam HCL,Midazolam HCL/PF,Bd Rx Inc./APP
J2250,"Injection, midazolam hydrochloride, per 1 mg",Midazolam HCL,Midazolam HCL/PF,Hospira
J2250,"Injection, midazolam hydrochloride, per 1 mg",Midazolam HCL,Midazolam HCL/PF,Hospira/Novaplu
J2250,"Injection, midazolam hydrochloride, per 1 mg",Midazolam HCL,Midazolam HCL/PF,Sagent Pharme
J2270,"Injection, morphine sulfate, up to 10 mg",Morphine Sulfate,Morphine Sulfate,Bd Rx Inc./APP
J2270,"Injection, morphine sulfate, up to 10 mg",Morphine Sulfate,Morphine Sulfate,Hospira
J2270,"Injection, morphine sulfate, up to 10 mg",Morphine Sulfate,Morphine Sulfate,"West-Ward, Inc."
J2270,"Injection, morphine sulfate, up to 10 mg",Morphine Sulfate,Morphine Sulfate/PF,Hospira
J2274,"Injection, morphine sulfate, preservative-free for epidural or intrathecal use, 10 mg",Duramorph,Morphine Sulfate/PF,"West-Ward, Inc."
J2274,"Injection, morphine sulfate, preservative-free for epidural or intrathecal use, 10 mg",Infumorph,Morphine Sulfate/PF,"West-Ward, Inc."
J2274,"Injection, morphine sulfate, preservative-free for epidural or intrathecal use, 10 mg",Morphine Sulfate,Morphine Sulfate/PF,Hospira
J2278,"Injection, ziconotide, 1 microgram",Prialt,Ziconotide Acetate,Jazz Pharmeut
J2300,"Injection, nalbuphine hydrochloride, per 10 mg",Nalbuphine HCL,Nalbuphine HCL,Hospira
J2300,"Injection, nalbuphine hydrochloride, per 10 mg",Nalbuphine HCL,Nalbuphine HCL,Hospira/Novatio
J2310,"Injection, naloxone hydrochloride, per 1 mg",Naloxone HCL,Naloxone HCL,A-S Medication
J2310,"Injection, naloxone hydrochloride, per 1 mg",Naloxone HCL,Naloxone HCL,Hospira
J2310,"Injection, naloxone hydrochloride, per 1 mg",Naloxone HCL,Naloxone HCL,Hospira/Novaplu
J2310,"Injection, naloxone hydrochloride, per 1 mg",Naloxone HCL,Naloxone HCL,Mylan Instituti
J2310,"Injection, naloxone hydrochloride, per 1 mg",Naloxone HCL,Naloxone HCL,"West-Ward, Inc."
J2315,"Injection, naltrexone, depot form, 1 mg",Vivitrol,Naltrexone Microspheres,Alkermes Inc
J2323,"Injection, natalizumab, 1 mg",Tysabri,Natalizumab,Biogen-Idec
J2353,"Injection, octreotide, depot form for intramuscular injection, 1 mg",Sandostatin Lar,"Octreotide Acetate,mi-Spheres",Novartis
J2353,"Injection, octreotide, depot form for intramuscular injection, 1 mg",Sandostatin Lar Depot,"Octreotide Acetate,mi-Spheres",Novartis
J2354,"Injection, octreotide, non-depot form for subcutaneous or intravenous injection, 25 mcg",Octreotide Acetate,Octreotide Acetate,APP/Fresenius K
J2354,"Injection, octreotide, non-depot form for subcutaneous or intravenous injection, 25 mcg",Octreotide Acetate,Octreotide Acetate,APP/Premierpro
J2354,"Injection, octreotide, non-depot form for subcutaneous or intravenous injection, 25 mcg",Octreotide Acetate,Octreotide Acetate,Bedford Labs
J2354,"Injection, octreotide, non-depot form for subcutaneous or intravenous injection, 25 mcg",Octreotide Acetate,Octreotide Acetate,Mylan Instituti
J2354,"Injection, octreotide, non-depot form for subcutaneous or intravenous injection, 25 mcg",Octreotide Acetate,Octreotide Acetate,Sagent Pharme
J2354,"Injection, octreotide, non-depot form for subcutaneous or intravenous injection, 25 mcg",Octreotide Acetate,Octreotide Acetate,Sandoz
J2354,"Injection, octreotide, non-depot form for subcutaneous or intravenous injection, 25 mcg",Octreotide Acetate,Octreotide Acetate,Sandoz/Novaplus
J2354,"Injection, octreotide, non-depot form for subcutaneous or intravenous injection, 25 mcg",Octreotide Acetate,Octreotide Acetate,Sun Pharmeuti
J2354,"Injection, octreotide, non-depot form for subcutaneous or intravenous injection, 25 mcg",Octreotide Acetate,Octreotide Acetate,Teva Parenteral
J2354,"Injection, octreotide, non-depot form for subcutaneous or intravenous injection, 25 mcg",Sandostatin,Octreotide Acetate,Novartis
J2355,"Injection, oprelvekin, 5 mg",Neumega,Oprelvekin,Wyeth Pharm
J2357,"Injection, omalizumab, 5 mg",Xolair,Omalizumab,"Genentech, Inc."
J2358,"Injection, olanzapine, long-acting, 1 mg",Zyprexa Relprevv,Olanzapine Pamoate,Eli Lilly & Co.
J2360,"Injection, orphenadrine citrate, up to 60 mg",Orphenadrine Citrate,Orphenadrine Citrate,Actavis Pharma/
J2360,"Injection, orphenadrine citrate, up to 60 mg",Orphenadrine Citrate,Orphenadrine Citrate,Akorn Inc.
J2360,"Injection, orphenadrine citrate, up to 60 mg",Orphenadrine Citrate,Orphenadrine Citrate,Sagent Pharme
J2400,"Injection, chloroprocaine hydrochloride, per 30 ml",Nesacaine,Chloroprocaine HCL,APP/Fresenius K
J2400,"Injection, chloroprocaine hydrochloride, per 30 ml",Nesacaine-MPF,Chloroprocaine HCL/PF,APP/Fresenius K
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL,APP/Fresenius K
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL,Heritage Pharma
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL,Hospira
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL,Medicines Comp.
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL,Mylan Instituti
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL,Sagent Pharme
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL,Sun Pharmeuti
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL,Teva Parenteral
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL,"West-Ward, Inc."
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL,Wockhardt USA L
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL/PF,Bd Rx Inc./APP
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL/PF,Fresenius Kabi
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL/PF,Heritage Pharma
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL/PF,Hospira
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL/PF,Medicines Comp.
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL/PF,Mylan Instituti
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL/PF,Sagent Pharme
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL/PF,Sandoz
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL/PF,Sun Pharmeuti
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL/PF,Teva Parenteral
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL/PF,"West-Ward, Inc."
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL,Ondansetron HCL/PF,Wockhardt USA L
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL In Dextrose,Ondansetron HCL/D5W/PF,"West-Ward, Inc."
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Zofran,Ondansetron HCL,Glaxosmithkline
J2425,"Injection, palifermin, 50 micrograms",Kepivance,Palifermin,Sobi-Swedish Or
J2426,"Injection, paliperidone palmitate extended release, 1 mg",Invega Sustenna,Paliperidone Palmitate,Janssen Pharm.
J2430,"Injection, pamidronate disodium, per 30 mg",Pamidronate DIsodium,Pamidronate DIsodium,APP/Fresenius K
J2430,"Injection, pamidronate disodium, per 30 mg",Pamidronate DIsodium,Pamidronate DIsodium,Akorn Inc.
J2430,"Injection, pamidronate disodium, per 30 mg",Pamidronate DIsodium,Pamidronate DIsodium,Amer. Regent
J2430,"Injection, pamidronate disodium, per 30 mg",Pamidronate DIsodium,Pamidronate DIsodium,Hospira
J2430,"Injection, pamidronate disodium, per 30 mg",Pamidronate DIsodium,Pamidronate DIsodium,Mylan Inst-Nova
J2430,"Injection, pamidronate disodium, per 30 mg",Pamidronate DIsodium,Pamidronate DIsodium,Mylan Instituti
J2430,"Injection, pamidronate disodium, per 30 mg",Pamidronate DIsodium,Pamidronate DIsodium,Otn
J2430,"Injection, pamidronate disodium, per 30 mg",Pamidronate DIsodium,Pamidronate DIsodium,Sagent Pharme
J2430,"Injection, pamidronate disodium, per 30 mg",Pamidronate DIsodium,Pamidronate DIsodium,Teva Parenteral
J2469,"Injection, palonosetron hcl, 25 mcg",Aloxi,Palonosetron HCL,Eisai Inc.
J2501,"Injection, paricalcitol, 1 mcg",Paricalcitol,Paricalcitol,Accord Healthca
J2501,"Injection, paricalcitol, 1 mcg",Paricalcitol,Paricalcitol,Hospira
J2501,"Injection, paricalcitol, 1 mcg",Paricalcitol,Paricalcitol,"West-Ward, Inc."
J2501,"Injection, paricalcitol, 1 mcg",Zemplar,Paricalcitol,Abbvie US LLC
J2505,"Injection, pegfilgrastim, 6 mg",Neulasta,Pegfilgrastim,Amgen
J2507,"Injection, pegloticase, 1 mg",Krystexxa,Pegloticase,Crealta Pharm
J2507,"Injection, pegloticase, 1 mg",Krystexxa,Pegloticase,Crealta Pharma/
J2510,"Injection, penicillin g procaine, aqueous, up to 600,000 units",Penicillin G Procaine,Penicillin G Procaine,Pfizer US Pharm
J2540,"Injection, penicillin g potassium, up to 600,000 units",PFizerpen,Penicillin G Potassium,Pfizer US Pharm
J2540,"Injection, penicillin g potassium, up to 600,000 units",PFizerpen,Penicillin G Potassium,Pfizer/Novaplus
J2540,"Injection, penicillin g potassium, up to 600,000 units",Penicillin G Potassium,Penicillin G Potassium,APP/Fresenius K
J2540,"Injection, penicillin g potassium, up to 600,000 units",Penicillin G Potassium,Penicillin G Potassium,Sandoz
J2540,"Injection, penicillin g potassium, up to 600,000 units",Penicillin G Potassium,Penicillin G Potassium,WG Critical Car
J2540,"Injection, penicillin g potassium, up to 600,000 units",Penicillin Gk-Iso-Osm Dextrose,Pen G Pot/Dextrose-Water,Baxter Healthca
J2543,"Injection, piperacillin sodium/tazobactam sodium, 1 gram/0.125 grams (1.125 grams)",Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,APP/Fresenius K
J2543,"Injection, piperacillin sodium/tazobactam sodium, 1 gram/0.125 grams (1.125 grams)",Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,APP/Novaplus
J2543,"Injection, piperacillin sodium/tazobactam sodium, 1 gram/0.125 grams (1.125 grams)",Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,APP/Premierpro
J2543,"Injection, piperacillin sodium/tazobactam sodium, 1 gram/0.125 grams (1.125 grams)",Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,Hospira
J2543,"Injection, piperacillin sodium/tazobactam sodium, 1 gram/0.125 grams (1.125 grams)",Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,Mylan Instituti
J2543,"Injection, piperacillin sodium/tazobactam sodium, 1 gram/0.125 grams (1.125 grams)",Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,Sagent Pharme
