"Medicare Part B Drug Spending and Utilization, Calendar Years 2012 - 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2012,,,,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,,Yearly Change,
Q9967,"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml",Hexabrix*,Ioxaglate Meg/Ioxaglate Sodium*,"$11,976,918","87,581,809","1,126,878","820,609",$0.14,$10.63,$14.60,"$14,072,144","86,758,456","1,151,328","822,499",$0.16,$12.22,$17.11,"$15,846,462","86,967,982","1,164,460","829,042",$0.18,$13.61,$19.11,"$13,226,034","87,707,627","1,168,166","839,421",$0.15,$11.32,$15.76,"$11,118,287","90,898,627","1,213,157","865,846",$0.12,$9.16,$12.84,$0.12,-18.89%,-2.75%
J1559,"Injection, immune globulin (hizentra), 100 mg",Hizentra,Immun Glob G(Igg)/Pro/Iga 0-50,"$132,200,697","9,239,033","28,026","2,516",$14.31,"$4,717.07","$52,544.00","$141,381,753","9,978,465","29,622","2,725",$14.17,"$4,772.86","$51,883.21","$162,394,542","11,508,811","32,120","2,976",$14.11,"$5,055.87","$54,568.06","$181,196,021","12,838,939","34,727","3,265",$14.11,"$5,217.73","$55,496.48","$195,591,756","13,862,843","37,163","3,499",$14.11,"$5,263.08","$55,899.33",$9.49,-0.03%,-0.35%
J1815,"Injection, insulin, per 5 units",Humalog (J1815)*,Insulin Lispro*,"$6,316","11,297",127,105,$0.56,$49.73,$60.15,"$3,667","4,546",92,78,$0.81,$39.86,$47.01,"$2,055","1,897",110,96,$1.08,$18.68,$21.40,"$1,829","2,042",67,57,$0.90,$27.30,$32.09,"$2,710",761,78,70,$3.56,$34.74,$38.71,$0.78,297.51%,58.86%
J1817,"Insulin for administration through dme (i.e., insulin pump) per 50 units",Humalog (J1817)*,Insulin Lispro*,"$13,268,342","4,870,373","44,079","11,009",$2.72,$301.01,"$1,205.23","$13,516,847","5,016,425","47,930","12,276",$2.69,$282.01,"$1,101.08","$14,226,807","5,192,847","53,985","12,261",$2.74,$263.53,"$1,160.33","$17,880,267","6,518,853","64,633","14,764",$2.74,$276.64,"$1,211.07","$22,544,429","8,176,410","81,095","18,253",$2.76,$278.00,"$1,235.11",$8.52,0.52%,0.30%
J7187,"Injection, von willebrand factor complex (humate-p), per iu vwf:rco",Humate-P,Antihemophilic Factor/VWF,"$19,123,251","3,025,578","1,027",281,$6.32,"$18,620.50","$68,054.27","$23,326,091","4,486,876","1,301",338,$5.20,"$17,929.36","$69,012.10","$21,541,788","4,266,434","1,478",362,$5.05,"$14,574.96","$59,507.70","$23,357,874","4,716,618","1,402",346,$4.95,"$16,660.39","$67,508.31","$32,927,074","5,027,942","1,795",365,$6.55,"$18,343.77","$90,211.16",$1.02,32.24%,0.89%
J0135,"Injection, adalimumab, 20 mg",Humira*,Adalimumab*,"$180,257",395,148,34,$456.35,"$1,217.95","$5,301.66","$264,643",532,204,28,$497.45,"$1,297.27","$9,451.54","$202,726",359,153,38,$564.70,"$1,325.01","$5,334.90","$168,432",262,125,28,$642.87,"$1,347.46","$6,015.44","$135,685",192,81,17,$706.69,"$1,675.13","$7,981.49",$815.10,9.93%,11.55%
J7321,"Hyaluronan or derivative, hyalgan or supartz, for intra-articular injection, per dose",Hyalgan*,Hyaluronate Sodium*,"$68,834,844","763,462","580,824","131,500",$90.16,$118.51,$523.46,"$70,837,572","814,768","623,913","136,532",$86.94,$113.54,$518.83,"$71,427,348","804,408","619,031","132,116",$88.79,$115.39,$540.64,"$71,015,930","812,282","623,773","132,274",$87.43,$113.85,$536.89,"$69,633,076","807,621","620,388","131,564",$86.22,$112.24,$529.27,$87.75,-1.38%,-1.11%
J8705,"Topotecan, oral, 0.25 mg",Hycamtin (J8705),Topotecan HCL,"$3,470,780","43,616",623,224,$79.58,"$5,571.08","$15,494.55","$3,550,545","42,184",685,246,$84.17,"$5,183.28","$14,433.11","$3,578,758","39,523",614,211,$90.55,"$5,828.60","$16,960.94","$3,427,789","35,700",551,211,$96.02,"$6,221.03","$16,245.45","$2,002,589","21,167",403,160,$94.61,"$4,969.20","$12,516.18",$102.47,-1.47%,4.42%
J9351,"Injection, topotecan, 0.1 mg",Hycamtin (J9351)*,Topotecan HCL*,"$12,139,752","2,174,589","36,995","4,969",$5.58,$328.15,"$2,443.10","$4,689,576","1,922,901","32,469","4,421",$2.44,$144.43,"$1,060.75","$3,993,437","1,920,018","31,205","4,320",$2.08,$127.97,$924.41,"$3,503,364","1,977,184","31,228","4,204",$1.77,$112.19,$833.34,"$1,959,970","915,466","17,432","1,848",$2.14,$112.44,"$1,060.59",$2.22,20.83%,-21.31%
J0360,"Injection, hydralazine hcl, up to 20 mg",Hydralazine HCL,Hydralazine HCL,"$5,850",831,799,737,$7.04,$7.32,$7.94,"$5,848","1,005",879,792,$5.82,$6.65,$7.38,"$4,747",993,937,803,$4.78,$5.07,$5.91,"$10,165",731,674,603,$13.91,$15.08,$16.86,"$13,230",901,801,714,$14.68,$16.52,$18.53,$7.37,5.60%,20.18%
J3410,"Injection, hydroxyzine hcl, up to 25 mg",Hydroxyzine HCL,Hydroxyzine HCL,"$43,820","35,330","23,521","12,241",$1.24,$1.86,$3.58,"$22,249","25,922","17,850","9,276",$0.86,$1.25,$2.40,"$2,923","7,949","5,813","3,136",$0.37,$0.50,$0.93,"$5,731","5,083","3,891","2,101",$1.13,$1.47,$2.73,"$11,735","5,599","4,208","2,207",$2.10,$2.79,$5.32,$2.26,85.92%,14.02%
J3473,"Injection, hyaluronidase, recombinant, 1 usp unit",Hylenex,"Hyaluronidase, Human Recomb.","$2,507","5,914",34,26,$0.42,$73.75,$96.44,"$8,332","26,737",284,235,$0.31,$29.34,$35.45,"$5,152","16,301",186,154,$0.32,$27.70,$33.45,"$9,365","27,860",225,170,$0.34,$41.62,$55.09,"$12,966","36,882",277,212,$0.35,$46.81,$61.16,$0.36,4.58%,-4.58%
90371,Hepatitis B immune globulin for injection into muscle,HyperHEP B S-D*,Hepatitis B Immune Globulin*,"$320,153","2,966",787,237,$107.94,$406.80,"$1,350.85","$287,164","2,712",715,235,$105.89,$401.63,"$1,221.97","$238,524","2,124",639,196,$112.30,$373.28,"$1,216.96","$257,560","2,315",619,192,$111.26,$416.09,"$1,341.46","$236,710","2,145",508,162,$110.35,$465.96,"$1,461.17",$115.23,-0.81%,0.55%
90375,Rabies immune globulin for injection beneath the skin and/or into muscle,HyperRAB S-D,Rabies Immune Globulin/PF,"$2,240,645","11,544","2,147","2,070",$194.10,"$1,043.62","$1,082.44","$2,704,537","12,926","2,156","2,080",$209.23,"$1,254.42","$1,300.26","$3,746,515","16,284","2,311","2,241",$230.07,"$1,621.17","$1,671.81","$4,577,552","18,396","2,393","2,321",$248.83,"$1,912.89","$1,972.23","$5,725,054","20,362","2,588","2,536",$281.16,"$2,212.15","$2,257.51",$291.03,12.99%,9.71%
J2790,"Injection, rho d immune globulin, human, full dose, 300 micrograms (1500 i.u.)",Hyperrho S-D*,Rho(D) Immune Globulin*,"$107,342","1,304","1,289","1,161",$82.32,$83.28,$92.46,"$109,304","1,400","1,376","1,250",$78.07,$79.44,$87.44,"$42,439",515,515,492,$82.41,$82.41,$86.26,"$36,803",456,456,430,$80.71,$80.71,$85.59,"$31,006",381,381,364,$81.38,$81.38,$85.18,$82.69,0.83%,-0.29%
J1670,"Injection, tetanus immune globulin, human, up to 250 units",Hypertet S-D,Tetanus Immune Globulin/PF,"$901,715","6,812","6,783","6,748",$132.38,$132.94,$133.63,"$920,043","5,931","5,897","5,866",$155.12,$156.02,$156.84,"$740,108","4,611","4,584","4,554",$160.51,$161.45,$162.52,"$649,631","3,776","3,749","3,729",$172.04,$173.28,$174.21,"$574,976","3,329","3,310","3,295",$172.72,$173.71,$174.50,$406.43,0.39%,6.88%
J9211,"Injection, idarubicin hydrochloride, 5 mg",Idamycin PFs*,Idarubicin HCL*,"$138,504","1,927",276,98,$71.88,$501.83,"$1,413.31","$44,178",664,142,57,$66.53,$311.12,$775.06,"$27,634",691,155,61,$39.99,$178.29,$453.02,"$16,128",425,92,46,$37.95,$175.31,$350.61,"$15,400",464,110,60,$33.19,$140.00,$256.66,$32.93,-12.54%,-17.57%
J9208,"Injection, ifosfamide, 1 gram",Ifex*,Ifosfamide*,"$670,758","21,703","5,597",828,$30.91,$119.84,$810.09,"$593,889","19,972","5,327",741,$29.74,$111.49,$801.47,"$696,824","21,772","5,128",738,$32.01,$135.89,$944.21,"$515,302","16,589","3,988",581,$31.06,$129.21,$886.92,"$492,954","16,682","4,330",592,$29.55,$113.85,$832.69,$29.52,-4.87%,-1.12%
J0743,"Injection, cilastatin sodium; imipenem, per 250 mg",Imipenem-Cilastatin Sodium*,Imipenem/Cilastatin Sodium*,"$238,716","22,443","2,914",304,$10.64,$81.92,$785.25,"$145,127","19,749","2,747",250,$7.35,$52.83,$580.51,"$76,316","15,924","1,841",195,$4.79,$41.45,$391.36,"$89,257","19,020","1,866",222,$4.69,$47.83,$402.06,"$62,856","9,721","1,160",207,$6.47,$54.19,$303.65,$6.48,37.79%,-11.70%
90376,Rabies immune globulin for injection beneath the skin and/or into muscle,Imogam Rabies-HT,Rabies Immune Globulin/PF,"$953,928","5,224",850,834,$182.60,"$1,122.27","$1,143.80","$1,158,937","5,624",812,796,$206.07,"$1,427.26","$1,455.95","$1,584,394","7,161",925,909,$221.25,"$1,712.86","$1,743.01","$1,579,155","6,533",830,817,$241.72,"$1,902.60","$1,932.87","$1,650,125","6,103",799,789,$270.38,"$2,065.24","$2,091.41",$277.15,11.86%,10.31%
90675,Vaccine for rabies injection into muscle,Imovax Rabies Vaccine*,"Rabies Vacc, Human Diploid/PF*","$2,218,960","11,093","9,855","3,685",$200.03,$225.16,$602.16,"$2,265,761","10,856","9,798","3,649",$208.71,$231.25,$620.93,"$2,663,747","11,780","10,680","3,980",$226.12,$249.41,$669.28,"$2,767,333","11,678","10,652","3,919",$236.97,$259.79,$706.13,"$3,199,612","12,161","11,152","4,110",$263.10,$286.91,$778.49,$271.35,11.03%,7.09%
Q2035,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (afluria)","Influenza Virus Vaccine (Afluria), Age 3+ Years**",,"$5,787,968","489,999","489,958","488,752",$11.81,$11.81,$11.84,"$7,928,088","684,480","684,454","678,571",$11.58,$11.58,$11.68,"$5,604,603","427,683","427,630","425,187",$13.10,$13.11,$13.18,"$5,035,224","339,300","339,230","337,418",$14.84,$14.84,$14.92,"$6,043,502","367,452","367,369","364,973",$16.45,$16.45,$16.56,$13.84,10.83%,8.63%
Q2038,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)","Influenza Virus Vaccine (Fluzone), Age 3+ Years**",,"$46,340,659","3,789,512","3,778,993","3,743,109",$12.23,$12.26,$12.38,"$37,984,615","3,219,844","3,219,422","3,172,422",$11.80,$11.80,$11.97,"$21,862,627","1,834,843","1,834,589","1,809,776",$11.92,$11.92,$12.08,"$15,801,076","1,270,264","1,259,999","1,247,915",$12.44,$12.54,$12.66,"$7,656,943","561,073","548,492","541,704",$13.65,$13.96,$14.13,$12.04,9.71%,2.78%
Q2037,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)","Influenza Virus Vaccine(Fluvirin), Age 3+ Years**",,"$66,461,864","4,874,683","4,874,525","4,844,513",$13.63,$13.63,$13.72,"$56,471,142","4,074,506","4,064,309","3,999,952",$13.86,$13.89,$14.12,"$58,749,488","4,137,949","4,117,221","4,074,680",$14.20,$14.27,$14.42,"$39,362,966","2,602,905","2,582,685","2,562,224",$15.12,$15.24,$15.36,"$31,463,170","2,011,340","2,010,149","1,988,632",$15.64,$15.65,$15.82,$15.94,3.44%,3.50%
P9046,"Infusion, albumin (human), 25%, 20 ml","Infusion, Albumin (Human), 25%, 20 mL**",,"$674,681","26,958","2,865",794,$25.03,$235.49,$849.72,"$880,807","32,213","3,421",913,$27.34,$257.47,$964.74,"$1,340,109","40,031","4,455","1,082",$33.48,$300.81,"$1,238.55","$766,440","34,602","3,952","1,083",$22.15,$193.94,$707.70,"$707,995","31,965","3,756","1,044",$22.15,$188.50,$678.16,$22.49,0.00%,-3.01%
P9047,"Infusion, albumin (human), 25%, 50 ml","Infusion, Albumin (Human), 25%, 50 mL**",,"$11,727,256","173,563","40,409","13,309",$67.57,$290.21,$881.15,"$12,683,641","188,603","46,917","15,235",$67.25,$270.34,$832.53,"$14,539,202","214,369","53,943","17,056",$67.82,$269.53,$852.44,"$12,936,811","245,933","61,038","18,534",$52.60,$211.95,$698.00,"$14,256,818","271,803","67,173","17,989",$52.45,$212.24,$792.53,$53.44,-0.29%,-6.13%
P9045,"Infusion, albumin (human), 5%, 250 ml","Infusion, Albumin (Human), 5%, 250 mL**",,"$12,480,401","202,335","16,646","6,359",$61.68,$749.75,"$1,962.64","$8,684,275","145,467","15,046","7,193",$59.70,$577.18,"$1,207.32","$14,913,180","222,361","20,633","8,454",$67.07,$722.78,"$1,764.04","$13,682,970","254,961","23,324","8,954",$53.67,$586.65,"$1,528.14","$13,208,470","246,872","20,982","7,143",$53.50,$629.51,"$1,849.15",$54.68,-0.30%,-3.49%
P9041,"Infusion, albumin (human), 5%, 50 ml","Infusion, Albumin (Human), 5%, 50 mL**",,"$5,010,623","236,317","4,723","1,235",$21.20,"$1,060.90","$4,057.18","$4,722,738","211,161","4,670","1,512",$22.37,"$1,011.29","$3,123.50","$5,695,531","276,496","5,941","2,200",$20.60,$958.68,"$2,588.88","$3,271,007","304,663","6,737","2,563",$10.74,$485.53,"$1,276.24","$3,658,234","333,674","6,379","1,860",$10.96,$573.48,"$1,966.79",$11.14,2.11%,-15.20%
J1439,"Injection, ferric carboxymaltose, 1 mg",Injectafer,Ferric Carboxymaltose,,,,,,,,,,,,,,,,,,,,,,"$50,538,847","48,234,534","60,954","29,608",$1.05,$829.13,"$1,706.93","$85,730,193","82,570,417","103,322","49,887",$1.04,$829.74,"$1,718.49",$1.05,-0.91%,-0.91%
J0400,"Injection, aripiprazole, intramuscular, 0.25 mg","Injection, Aripiprazole, Intramuscular, 0.25 mg**",,,,,,,,,,,,,,,,$26,56,56,31,$0.47,$0.47,$0.85,$50,93,64,29,$0.53,$0.78,$1.71,$74,160,153,47,$0.46,$0.48,$1.57,$0.76,-13.36%,-0.98%
J1438,"Injection, etanercept, 25 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)","Injection, Etanercept, 25 mg**",,"$194,387",879,172,31,$221.15,"$1,130.16","$6,270.55","$218,989",896,213,29,$244.41,"$1,028.12","$7,551.36","$209,333",775,232,41,$270.11,$902.30,"$5,105.68","$206,938",674,199,26,$307.03,"$1,039.89","$7,959.15","$291,092",765,180,18,$380.51,"$1,617.18","$16,171.78",$380.99,23.93%,14.53%
J2760,"Injection, phentolamine mesylate, up to 5 mg","Injection, Phentolamine Mesylate, Up To 5 mg**",,"$141,075","2,837","2,619","1,596",$49.73,$53.87,$88.39,"$175,891","2,096","2,028","1,157",$83.92,$86.73,$152.02,"$115,058","1,326","1,203",807,$86.80,$95.64,$142.57,"$108,820",905,864,774,$120.24,$125.95,$140.59,"$127,297",913,880,765,$139.43,$144.66,$166.40,$159.00,15.95%,29.40%
J9214,"Injection, interferon, alfa-2b, recombinant, 1 million units",Intron A,"Interferon Alfa-2b,recomb.","$15,064,254","833,661","25,932","2,730",$18.07,$580.91,"$5,518.04","$13,730,277","733,724","20,930","2,359",$18.71,$656.01,"$5,820.38","$12,879,656","633,385","18,151","2,111",$20.33,$709.58,"$6,101.21","$11,205,451","506,586","13,338","1,778",$22.12,$840.11,"$6,302.28","$12,162,218","493,928","12,565","1,707",$24.62,$967.94,"$7,124.91",$25.33,11.32%,8.04%
J1335,"Injection, ertapenem sodium, 500 mg",Invanz,Ertapenem Sodium,"$3,782,507","126,283","56,999","5,878",$29.95,$66.36,$643.50,"$3,905,323","123,375","55,779","5,946",$31.65,$70.01,$656.80,"$4,681,432","138,558","60,447","6,432",$33.79,$77.45,$727.83,"$5,356,796","143,996","61,675","6,820",$37.20,$86.86,$785.45,"$6,202,707","146,462","66,868","7,081",$42.35,$92.76,$875.96,$43.35,13.84%,9.04%
J2426,"Injection, paliperidone palmitate extended release, 1 mg",Invega Sustenna,Paliperidone Palmitate,"$9,183,888","1,384,265","8,676","1,823",$6.63,"$1,058.54","$5,037.79","$12,137,930","1,688,470","10,806","2,241",$7.19,"$1,123.26","$5,416.30","$14,573,710","1,926,314","12,277","2,486",$7.57,"$1,187.07","$5,862.31","$15,035,223","1,879,354","13,282","2,680",$8.00,"$1,132.00","$5,610.16","$15,279,697","1,822,227","11,846","2,528",$8.39,"$1,289.86","$6,044.18",$8.89,4.81%,6.03%
J7644,"Ipratropium bromide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram",Ipratropium Bromide,Ipratropium Bromide,"$6,561,142","25,072,372","504,755","140,295",$0.26,$13.00,$46.77,"$5,352,882","22,771,526","490,554","140,782",$0.24,$10.91,$38.02,"$4,557,089","19,698,061","434,940","125,999",$0.23,$10.48,$36.17,"$3,833,936","17,456,357","397,165","117,356",$0.22,$9.65,$32.67,"$3,331,122","15,693,974","360,249","108,647",$0.21,$9.25,$30.66,$0.22,-3.36%,-5.10%
Q9966,"Low osmolar contrast material, 200-299 mg/ml iodine concentration, per ml",Isovue-200*,Iopamidol*,"$925,635","3,562,367","225,147","123,944",$0.26,$4.11,$7.47,"$1,024,767","3,588,396","227,338","126,003",$0.29,$4.51,$8.13,"$720,995","3,338,749","232,928","128,232",$0.22,$3.10,$5.62,"$680,775","3,443,971","239,102","131,763",$0.20,$2.85,$5.17,"$633,369","3,684,727","262,449","143,289",$0.17,$2.41,$4.42,$0.17,-13.04%,-9.81%
J9315,"Injection, romidepsin, 1 mg",Istodax,Romidepsin,"$20,816,912","90,857","3,285",374,$229.12,"$6,336.96","$55,660.19","$19,914,244","81,604","2,745",346,$244.04,"$7,254.73","$57,555.62","$28,615,583","109,926","3,568",410,$260.32,"$8,020.06","$69,794.10","$31,048,383","111,026","3,546",412,$279.65,"$8,755.89","$75,360.15","$33,880,569","114,679","3,682",407,$295.44,"$9,201.68","$83,244.64",$301.17,5.65%,6.56%
J9207,"Injection, ixabepilone, 1 mg",Ixempra,Ixabepilone,"$21,569,019","332,191","5,749","1,377",$64.93,"$3,751.79","$15,663.78","$15,308,004","229,591","4,020",964,$66.68,"$3,807.96","$15,879.67","$12,800,916","187,417","3,241",740,$68.30,"$3,949.68","$17,298.53","$11,780,153","168,178","2,844",709,$70.05,"$4,142.11","$16,615.17","$9,503,681","128,536","2,131",547,$73.94,"$4,459.73","$17,374.19",$75.08,5.56%,3.30%
J7316,"Injection, ocriplasmin, 0.125 mg",Jetrea,Ocriplasmin/PF,,,,,,,,,,,,,,,"$6,897,870","7,009","1,755","1,707",$984.21,"$3,930.41","$4,040.93","$4,804,265","4,680","1,229","1,179","$1,026.66","$3,909.08","$4,074.86","$2,592,099","2,522",655,628,"$1,027.80","$3,957.40","$4,127.55","$1,046.75",0.11%,2.19%
J9043,"Injection, cabazitaxel, 1 mg",Jevtana,Cabazitaxel,"$79,007,921","585,717","9,889","2,289",$134.89,"$7,989.48","$34,516.35","$66,044,579","480,695","8,060","1,956",$137.39,"$8,194.12","$33,765.12","$68,673,303","493,428","8,320","1,980",$139.18,"$8,254.00","$34,683.49","$74,461,439","519,684","8,745","2,131",$143.28,"$8,514.74","$34,942.02","$87,577,595","592,883","10,026","2,431",$147.71,"$8,735.05","$36,025.34",$150.66,3.09%,2.30%
J9354,"Injection, ado-trastuzumab emtansine, 1 mg",Kadcyla,Ado-Trastuzumab Emtansine,,,,,,,,,,,,,,,"$101,049,345","3,533,751","12,893","2,105",$28.60,"$7,837.54","$48,004.44","$105,632,245","3,691,016","13,360","2,192",$28.62,"$7,906.61","$48,189.89","$113,231,423","3,958,929","14,325","2,231",$28.60,"$7,904.46","$50,753.66",$29.21,-0.06%,0.01%
J3301,"Injection, triamcinolone acetonide, not otherwise specified, 10 mg",Kenalog*,Triamcinolone Acetonide*,"$17,972,810","10,676,220","2,514,467","1,563,869",$1.68,$7.15,$11.49,"$19,303,900","11,062,905","2,612,560","1,615,257",$1.74,$7.39,$11.95,"$19,596,994","11,193,294","2,647,200","1,645,941",$1.75,$7.40,$11.91,"$20,887,134","11,944,718","2,789,205","1,729,890",$1.75,$7.49,$12.07,"$22,528,874","12,848,097","2,955,269","1,824,515",$1.75,$7.62,$12.35,$1.78,0.28%,1.02%
J2425,"Injection, palifermin, 50 micrograms",Kepivance,Palifermin,"$394,985","33,834",183,122,$11.67,"$2,158.39","$3,237.58","$437,407","32,958",186,117,$13.27,"$2,351.65","$3,738.52","$415,689","28,836",163,104,$14.42,"$2,550.24","$3,997.01","$456,473","29,937",168,107,$15.25,"$2,717.10","$4,266.11","$504,957","30,154",177,113,$16.75,"$2,852.87","$4,468.65",$17.08,9.83%,9.44%
J1885,"Injection, ketorolac tromethamine, per 15 mg",Ketorolac Tromethamine,Ketorolac Tromethamine,"$454,921","1,777,479","622,876","372,422",$0.26,$0.73,$1.22,"$843,867","2,005,345","700,107","412,644",$0.42,$1.21,$2.05,"$731,381","2,130,085","740,480","436,105",$0.34,$0.99,$1.68,"$1,315,115","2,108,273","729,009","434,858",$0.62,$1.80,$3.02,"$1,554,486","2,311,129","800,766","473,953",$0.67,$1.94,$3.28,$0.68,7.83%,27.32%
J2805,"Injection, sincalide, 5 micrograms",Kinevac,Sincalide,"$759,516","10,650","10,597","10,552",$71.32,$71.67,$71.98,"$602,128","9,125","9,082","9,046",$65.99,$66.30,$66.56,"$486,698","6,070","6,034","6,014",$80.18,$80.66,$80.93,"$583,719","7,092","7,027","7,008",$82.31,$83.07,$83.29,"$680,282","7,965","7,901","7,869",$85.41,$86.10,$86.45,$94.09,3.76%,4.61%
J2507,"Injection, pegloticase, 1 mg",Krystexxa,Pegloticase,"$5,964,849","19,518","2,195",279,$305.61,"$2,717.47","$21,379.39","$8,210,721","20,133","2,332",301,$407.82,"$3,520.89","$27,278.14","$11,377,877","17,265","2,039",270,$659.01,"$5,580.13","$42,140.29","$17,925,072","18,107","2,135",292,$989.95,"$8,395.82","$61,387.23","$26,735,165","18,797","2,208",309,"$1,422.31","$12,108.32","$86,521.57","$1,474.22",43.67%,46.88%
J9047,"Injection, carfilzomib, 1 mg",Kyprolis,Carfilzomib,,,,,,,,,,,,,,,"$158,981,413","5,478,743","74,868","4,270",$29.02,"$2,123.49","$37,232.18","$228,184,106","7,592,639","100,396","5,571",$30.05,"$2,272.84","$40,959.27","$269,228,703","8,644,207","110,089","5,868",$31.15,"$2,445.55","$45,880.83",$31.68,3.63%,3.60%
J7120,"Ringers lactate infusion, up to 1000 cc",Lactated Ringers,"Ringer's Solution,lactated","$34,932","34,136","32,174","13,988",$1.02,$1.09,$2.50,"$34,889","35,754","33,936","14,170",$0.98,$1.03,$2.46,"$31,109","28,347","26,078","12,016",$1.10,$1.19,$2.59,"$33,468","23,556","21,744","10,496",$1.42,$1.54,$3.19,"$38,098","20,248","18,464","9,497",$1.88,$2.06,$4.01,$1.95,32.43%,16.45%
J2820,"Injection, sargramostim (gm-csf), 50 mcg",Leukine,Sargramostim,"$14,288,479","542,823","53,255","4,251",$26.32,$268.30,"$3,361.20","$11,958,442","425,570","41,500","3,393",$28.10,$288.16,"$3,524.45","$9,228,818","299,154","29,004","2,449",$30.85,$318.19,"$3,768.40","$7,911,825","250,965","25,054","1,975",$31.53,$315.79,"$4,005.99","$5,363,515","155,789","15,484","1,249",$34.43,$346.39,"$4,294.25",$35.23,9.21%,6.94%
J7612,"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 0.5 mg",Levalbuterol Concentrate*,Levalbuterol HCL*,"$59,449","271,152","5,617","3,657",$0.22,$10.58,$16.26,"$39,142","168,015","5,835","3,955",$0.23,$6.71,$9.90,"$27,597","146,219","5,011","3,330",$0.19,$5.51,$8.29,"$34,586","170,495","5,465","3,802",$0.20,$6.33,$9.10,"$58,168","251,623","5,041","3,599",$0.23,$11.54,$16.16,$0.23,13.96%,1.33%
J7614,"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 0.5 mg",Levalbuterol HCL*,Levalbuterol HCL*,"$3,503,666","13,168,370","95,223","40,636",$0.27,$36.79,$86.22,"$1,975,433","14,078,331","104,777","45,941",$0.14,$18.85,$43.00,"$1,178,711","12,832,463","94,210","42,374",$0.09,$12.51,$27.82,"$1,162,052","12,137,260","91,040","42,013",$0.10,$12.76,$27.66,"$919,372","12,257,852","90,428","41,461",$0.08,$10.17,$22.17,$0.08,-21.66%,-27.13%
J1956,"Injection, levofloxacin, 250 mg",Levaquin*,Levofloxacin/D5W*,"$97,661","21,231","8,659","3,568",$4.60,$11.28,$27.37,"$83,795","24,731","10,053","3,768",$3.39,$8.34,$22.24,"$54,302","18,386","7,691","3,339",$2.95,$7.06,$16.26,"$45,088","19,491","7,928","3,135",$2.31,$5.69,$14.38,"$48,274","19,992","8,193","2,932",$2.41,$5.89,$16.46,$2.16,4.38%,-14.88%
J1980,"Injection, hyoscyamine sulfate, up to 0.25 mg",Levsin,Hyoscyamine Sulfate,"$3,706",264,228,89,$14.04,$16.25,$41.64,"$4,246",266,220,102,$15.96,$19.30,$41.63,"$1,878",108,97,55,$17.39,$19.36,$34.15,"$3,176",142,98,95,$22.37,$32.41,$33.44,"$5,804",231,163,149,$25.12,$35.60,$38.95,$25.97,12.31%,15.67%
J7308,"Aminolevulinic acid hcl for topical administration, 20%, single unit dosage form (354 mg)",Levulan,Aminolevulinic Acid HCL,"$19,403,353","125,185","109,308","72,617",$155.00,$177.51,$267.20,"$22,957,504","140,423","121,579","81,206",$163.49,$188.83,$282.71,"$35,289,288","150,361","130,464","85,969",$234.70,$270.49,$410.49,"$42,682,456","159,049","138,509","91,579",$268.36,$308.16,$466.07,"$51,800,279","168,192","147,325","96,862",$307.98,$351.61,$534.78,$318.70,14.76%,18.73%
J2785,"Injection, regadenoson, 0.1 mg",Lexiscan,Regadenoson,"$223,378,057","4,259,068","1,102,686","1,086,344",$52.45,$202.58,$205.62,"$239,785,679","4,542,406","1,170,944","1,153,850",$52.79,$204.78,$207.81,"$116,992,247","2,249,421","574,828","568,618",$52.01,$203.53,$205.75,"$116,919,848","2,250,002","573,803","567,621",$51.96,$203.76,$205.98,"$122,244,752","2,310,180","589,000","582,679",$52.92,$207.55,$209.80,$53.91,1.83%,0.22%
J2001,"Injection, lidocaine hcl for intravenous infusion, 10 mg",Lidocaine HCL In 5% Dextrose,Lidocaine HCL/Dextrose 5 %/PF,"$17,052","185,373","70,207","42,569",$0.09,$0.24,$0.40,"$8,805","150,057","54,336","33,477",$0.06,$0.16,$0.26,"$19,910","158,594","58,753","34,496",$0.13,$0.34,$0.58,"$19,106","169,642","64,972","38,964",$0.11,$0.29,$0.49,"$17,320","262,746","78,884","46,549",$0.07,$0.22,$0.37,$0.02,-41.47%,-7.99%
